id,nummer_alt,nummer_neu,aufstellungsort,brunnenart,bauart,epsg31255_x,epsg31255_y,lon,lat,in_betrieb,trinkwasser,wasseranalyse,steuerung,elektrik,pumpe,beleuchtung,wassermenge_sammelbecken,lage_brunnentechnik,lage_wasserzaehler,wasserzaehler_epsg31255_x,wasserzaehler_epsg31255_y,wasserzaehler_lon,wasserzaehler_lat,lage_e_schaltschrank,lage_stromzaehler,bemerkung,betriebszeit,frostschutz_wasserzaehler_ausgebaut
brunnen_tb41,B80,TB41,Hummelhofwald bei Wattrinne,Trinkbrunnen,Auslauf,71310.845,349304.381,14.29329847,48.27800266,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Schacht ca.40 m westlich vom Brunnen und Wattrinne Zähler für 2 Trinkbr. und Wattrinne,,,,,keine,keine,W-Absperrung für Brunnen und Wattrinne in gemeinsamen Schacht,keine Angabe,
brunnen_tb42,B81,TB42,Liegewiese Bauernberg Eingang bei Auf der Gugl 22,Trinkbrunnen,Auslauf,70266.918,351122.925,14.27953696,48.29447096,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht ca. 20 m nordöstlich vom Brunnen,Gehweg Parkeingang gegenüber Auf der Gugl 16,,,,,keine,keine,Brunnen wird vom GtA betreut,keine Angabe,
brunnen_b82,B82,2009 stillgelegt,Spielplatz Kopernikusstr.,Trinkbrunnen,Auslauf,,,,,false,true,false,Druckknopf,keine,keine,keine,keine,Schacht ca 15 m südöstlich vom Brunnen,Zähler bzw Wasseranschluss von SGL 2009 abgemeldet,,,,,keine,keine,Brunnen existiert nicht mehr wasseranschl. von SGL 2009 abgemeldet.,Wasseran- schluss 2009 von SGL abgemeldet,
brunnen_tb43,B83,TB43,Andres Hofer Park bei Parkeingang Kandl Heim,Trinkbrunnen,Auslauf,71540.415,350266.225,14.29655311,48.28662561,true,true,true,Druckknopf,keine,keine,keine,keine,keine,Schacht ca. 20 m südöstlich vom Brunnen,71562.688,350267.127,14.29685335,48.28663122,keine,keine,,keine Angabe,
brunnen_tb45,B84,TB45,Spielplatz Mittelgasse,Trinkbrunnen,Auslauf,70111.316,352651.087,14.27769288,48.30822915,true,true,true,Druckknopf Fußbetätigung,keine,keine,keine,keine,Schacht bei Brunnen,Schacht bei Brunnen,,,,,keine,keine,Schleusensystem mit 5 Schleusen Wartung bis jetzt nur vom GtA,keine Angabe,Ja
brunnen_tb46,B85,TB46,Hummelhofwald Spielplatz,Trinkbrunnen,Auslauf,71251.187,349299.279,14.29249397,48.27796347,true,true,true,Druckknopf Fußbetätigung,keine,keine,keine,keine,W-Absperrung im Zählerschacht von Wattrinne und Trinkbrunnen,Im Zählerschacht von Wattrinne,,,,,keine,keine,,keine Angabe,
brunnen_tb47,B86,TB47,Pulvermühlpark bei Fröllerweg 53,Trinkbrunnen,Auslauf,71812.78,355391.203,14.30109121,48.33267757,true,true,true,Druckknopf Fußbetätigung,keine,keine,keine,keine,Schacht ca. 10 m östlich vom Brunnen,Schacht ca. 10 m östlich vom Brunnen,71818.06,355394.54,14.30116298,48.33270698,keine,keine,,keine Angabe,
brunnen_tb48,B87,TB48,Freinberg Kuppe (Hundetränke) bei Rot Kreuz Sender,Trinkbrunnen,"Auslaufventil 1/2""",69157,352066.37,14.26473435,48.30307604,true,true,true,keine,keine,keine,keine,keine,GtA Unterkunft Freinberg,Schacht ca. 100 m oberhalb bei SBL Hochbehälter GtA Unterkunft Freinberg mitgez.,,,,,keine,keine,Wird nur vom GtA beträut,keine Angabe,
brunnen_tb49,B88,TB49,Teufelstr,Trinkbrunnen,Auslauf,71227.621,348304.727,14.29200968,48.26902324,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Schacht neben Brunnen,71228.365,348304.913,14.29201973,48.26902483,keine,keine,Wurde 08.2010 von Hydrant auf Druckknopf umgebaut,keine Angabe,Ja
brunnen_tb50,B89,TB50,Spielplatz Am Damm unterhalb Ferihumerstr. 50,Trinkbrunnen,Ziehbrunnen,71162.013,353584.178,14.29201176,48.31650250,true,true,true,Hydraulik Druckminderer,keine,keine,keine,keine,Schacht neben Spielplatz Richtung Stiege und ehemaliges Badewärterhaus,Im Keller (Fahrradraum) Haus Ferihumerstr. 50,,,,,keine,keine,Auf System Druckminderer umgebaut 09.2007,keine Angabe,
brunnen_tb51,B90,TB51,Spielplatz Am Damm unterhalb Ferihumerstr. 50,Trinkbrunnen,Auslauf,71164.297,353582.444,14.29204226,48.31648665,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Spielplatz Richtung Stiege und ehemaliges Badewärterhaus,Im Keller (Fahrradraum) Haus Ferihumerstr. 50,,,,,keine,keine,,keine Angabe,
brunnen_tb52,,TB52,Spielplatz Am Damm unterhalb Ferihumerstr. 50,Trinkbrunnen,1Stk Auslaufhahn,71161.247,353564.236,14.29199808,48.31632327,true,true,true,keine,keine,keine,keine,keine,Schacht neben Spielplatz Richtung Stiege und ehemaliges Badewärterhaus,Im Keller (Fahrradraum) Haus Ferihumerstr. 50,,,,,keine,keine,,keine Angabe,
brunnen_tb53,B91,TB53,Spielplatz Am Damm unterhalb Ferihumerstr. 50,Trinkbrunnen,2 Stk Duschen,71154.061,353558.312,14.29190022,48.31627081,true,true,true,keine,keine,keine,keine,keine,Schacht neben Spielplatz Richtung Stiege und ehemaliges Badewärterhaus,Im Keller (Fahrradraum) Haus Ferihumerstr. 50,,,,,keine,keine,Achtung Bei demontierter Duschsäule immer am Boden Abdeckplatte öffnen und KFE Hahn schließen,keine Angabe,
brunnen_tb55,B92,TB55,Spielplatz Einfaltstr. gegenüber Kinderg. Einfaltstr. 8,Trinkbrunnen,Ziehbrunnen,72389.718,348502.212,14.30769500,48.27066781,true,true,true,Hydraulik Druckminderer,keine,keine,keine,keine,Schacht ca. 15 m nördlich vom Brunnen am Parkplatz,Schacht ca. 15 m nördlich vom Brunnen am Parkplatz,72375.028,348513.494,14.30749906,48.27077093,keine,,Auf System Druckminderer umgebaut 04.2011,keine Angabe,Ja
