id,FIRMA,Adresse,PLZ,Stadt,Marke/Hersteller,Standort,quell_lat,quell_lon,lat,lon,koordinatenstatus
defi_dade9c94fbdbb5e3c3c4,"ÖRK Landesverband OÖ, KHD 4.7715",Körnerstraße 28,4020,Linz,Lifepak CR+,KHD 4.7715,48.25824500000000,14.27985100000000,48.25824500000000,14.27985100000000,plausibel
defi_87f99bfba4e6910b779f,"ÖRK Landesverband OÖ, 4.1703",Körnerstraße 28,4020,Linz,Lifepak CR2 WLAN,4.1703 Dienstfahrzeug LV,48.30478300000000,14.29940000000000,48.30478300000000,14.29940000000000,plausibel
defi_2508ec27258262a87ac1,HABAU Hoch- und Tiefbaugesellschaft mbH,Kotzinastraße 4,4021,Linz,Fred Easy,"Kotzinastraße 4, Linz, EG, nähe Lift",48.28895000000000,14.28503300000000,48.28895000000000,14.28503300000000,plausibel
defi_83b5e2b9eef844e2962c,Held & Francke Baugesellschaft mbH,Kotzinastraße 4,4030,Linz,Lifepak CR+,Eingangsbereich,48.24076600000000,14.28235600000000,48.24076600000000,14.28235600000000,plausibel
defi_30aeabd8c5d4b1aaaf5c,"Österreichisches Rotes Kreuz, Landesverband OÖ, Blutzentrale Linz",Krankenhausstraße 7,4017,Linz,Lifepak CR+,Team 5,48.30271700000000,14.30513300000000,48.30271700000000,14.30513300000000,plausibel
defi_2a5d535f9d42de8f2c79,"Österreichisches Rotes Kreuz, Landesverband OÖ, Blutzentrale Linz",Krankenhausstraße 7,4017,Linz,Lifepak CR+,Außendienst Reserve,48.30271700000000,14.30513300000000,48.30271700000000,14.30513300000000,plausibel
defi_b0a13b711538249cce43,"Österreichisches Rotes Kreuz, Landesverband OÖ, Blutzentrale Linz",Krankenhausstraße 7,4017,Linz,Lifepak CR+,Team 6,48.30271700000000,14.30513300000000,48.30271700000000,14.30513300000000,plausibel
defi_20a5cd19a45759e1465f,"Österreichisches Rotes Kreuz, Landesverband OÖ, Blutzentrale Linz",Krankenhausstraße 7,4017,Linz,Lifepak CR+,Team 7,48.30271700000000,14.30513300000000,48.30271700000000,14.30513300000000,plausibel
defi_567b7fefa876fd0746a8,"Österreichisches Rotes Kreuz, Landesverband OÖ, Blutzentrale Linz",Krankenhausstraße 7,4017,Linz,Lifepak CR+,Ambulanz Notfallraum EG,48.30271700000000,14.30513300000000,48.30271700000000,14.30513300000000,plausibel
defi_15bdf5e3591b51e05623,"Österreichisches Rotes Kreuz, Landesverband OÖ, Blutzentrale Linz",Krankenhausstraße 7,4017,Linz,Lifepak CR+,Team 8,48.30271700000000,14.30513300000000,48.30271700000000,14.30513300000000,plausibel
defi_e9e5e8dba5e46834f5d1,Zgonc Handel GmbH,Kremplstr. 9,4020,Linz,Lifepak CR+,"Zgonc Linz, Erste-Hilfe-Raum",48.27456700000000,14.31250000000000,48.27456700000000,14.31250000000000,plausibel
defi_273bcae0a96eeec8f80a,KPMG Services GmbH,Kudlichstraße 41,4020,Linz,Heartstart FRx,Foyer Wartebereich,48.28672000000000,14.27834700000000,48.28672000000000,14.27834700000000,plausibel
defi_15e010597ab80284bcf4,Amt der oberösterreichischen Landesregierung,Landhausplatz 1,4020,Linz,Lifepak CR+,"Landhaus, 4. OG, Turmstiege",48.30405300000000,14.28532200000000,48.30405300000000,14.28532200000000,plausibel
defi_fdf42065d0950d101719,Kaufmännischer Verein - Palais,Landstr. 49,4020,Linz,Lifepak CR+,Rettungszimmer EG,48.29975000000000,14.29208300000000,48.29975000000000,14.29208300000000,plausibel
defi_5633859d957be85693ab,Passage Linz GmbH & Co KG,Landstraße 17-25,4020,Linz,Lifepak CR+,Infocenter 1. OG,48.30280600000000,14.28938300000000,48.30280600000000,14.28938300000000,plausibel
