id,quell_id,name,katastralgemeinde,beschreibung,detail_url,benannt_nach,person_wikidata_id,weitere_person_wikidata_ids,person_wikidata_url,person_name,person_geschlecht,person_beruf,person_geburtsdatum,person_sterbedatum,heutiger_strassenname,benennung_code,jahr_benennung,jahr_loeschung
strasse_historisch_1901,1901,Hacklstraße,Lustenau,"Von 1940 bis 1945 Hacklstraße nach dem Polizeiwachmann Josef Hackl (1906-1934), mitbeteiligt am nationalsozialistischen Juliputsch 1934, heute Schmidt-Renner-Straße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1901&hist=historisch,Josef Hackl,,,,,,,,,Schmidt-Renner-Straße,M,1940,1945
strasse_historisch_1906,1906,Hafnerplatz,Linz,"Von 1825 bis 1869, heute Zollamtstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1906&hist=historisch,,,,,,,,,,Zollamtstraße,X,1825,1869
strasse_historisch_1908,1908,Hafnerwinkel,Linz,"Die kurze Sackgasse zum alten Hafnerhaus, der späteren Tonofenfabrik Schadler, heiß um 1771 Hafnerwinkel, heute Teil der Kaisergasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1908&hist=historisch,,,,,,,,,,Kaisergasse,X,um 1771,
strasse_historisch_1909,1909,Hagenauerweg,Lustenau,Gegenüber dem Objekt Wimhölzelstraße 73 etwa in südlicher Richtung verlaufende Sackgasse. Benannt 1954 nach dem ehemaligen Hagenauergut. Gelöscht 2015.,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1909&hist=historisch,,,,,,,,,,Wimhölzelstraße,X,1954,2015
strasse_historisch_1911,1911,Hagergasse,Linz,"Von 1815 bis 1825 Bezeichnung für das Straßenstück zwischen Klammstraße und Schlossergasse, heute Teil der Hirschgasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1911&hist=historisch,,,,,,,,,,Hirschgasse,X,1815,1825
strasse_historisch_1918,1918,Halbgasse,Urfahr,"Vom Bernaschekplatz nach Süden verlaufende Sackgasse. Benannt 1875. 1984 durch den Bau des Neuen Rathauses aufgelassen. Der Name erklärt sich aus dem Umstand, daß sie etwa bis zur Mitte des zwischen Bernaschekplatz und Ottensheimer Straße gelegenen Areals reichte. - Vor 1875 Estermanngäßl nach einem alteingesessenen Urfahrer Kaufmanns- und Fabrikantengeschlecht.",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1918&hist=historisch,,,,,,,,,,,X,1875,1984
strasse_historisch_1923,1923,Hangergasse,Linz,"Von 1815 bis 1825 nach dem Henkerhaus, heute Lessingstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1923&hist=historisch,,,,,,,,,,Lessingstraße,X,1815,1825
strasse_historisch_1927,1927,Harlandweg,Katzbach,Ehemals beim Objekt Gallneukirchner Straße 19 nach Norden verlaufend. Benannt 1958 nach einem Flurnamen. Gelöscht 1973.,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1927&hist=historisch,,,,,,,,,,Gallneukirchner Straße,X,1958,1973
strasse_historisch_1928,1928,Harrachfeld,Linz,"Von 1812 bis 1815 Bezeichnung für das Straßenstück zwischen Harrachstraße und der Eisernen Hand, heute Teil der Bethlehemstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1928&hist=historisch,,,,,,,,,,Bethlehemstraße,X,1812,1815
strasse_historisch_1929,1929,Harras,Linz,"Um 1815 Bezeichnung für die Stockhofgasse, einen Teil der heutigen Stockhofstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1929&hist=historisch,,,,,,,,,,Stockhofstraße,X,um 1815,
strasse_historisch_1825,1825,Heizenauerstraße,St. Peter,"Ehemals zwischen Sternbauerstraße und Leingruberstraße verlaufend. Benannt 1934 nach dem Bauernführer Kilian Heizenauer, der 1627 auf dem Linzer Hauptplatz hingerichtet wurde. Aufgelassen 1991.",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1825&hist=historisch,Kilian Heizenauer,,,,,,,,,,M,1934,1991
strasse_historisch_1829,1829,Henkersteig,Linz,"Bezeichnung vor 1815 nach dem Henkerhaus, heute Lessingstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1829&hist=historisch,,,,,,,,,,Lessingstraße,X,,1815
strasse_historisch_1830,1830,Herbert-Norkus-Platz,Waldegg,"Von 1940 bis 1945 nach dem HJ-Führer Herbert Norkus (gest. 1932), heute Minnesängerplatz",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1830&hist=historisch,Herbert Norkus,Q72866,,https://www.wikidata.org/wiki/Q72866,Herbert Norkus,male,,1916-07-26,1932-01-24,Minnesängerplatz,M,1940,1945
strasse_historisch_1836,1836,Heubühel,Linz,"Um 1439 Bezeichnung für die nördliche, zur Donau abfallende Seite des heutigen Hauptplatzes",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1836&hist=historisch,,,,,,,,,,,X,um 1439,
strasse_historisch_1840,1840,Hirschenwirtsgasse,Linz,"Von etwa 1771 bis 1869 nach dem dort gelegenen Gasthaus Zum Goldenen Hirschen, heute Hirschgasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1840&hist=historisch,,,,,,,,,,Hirschgasse,X,ca. 1771,1869
strasse_historisch_1844,1844,Hochfeldstraße,Pöstlingberg,"Bezeichnung von 1955 bis 1956, heute Göteborgweg",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1844&hist=historisch,,,,,,,,,,Göteborgweg,X,1955,1956
strasse_historisch_1859,1859,Hofberg,Linz,"Von 1710 bis 1800 Bezeichnung für das steile Straßenstück zwischen Altstadt und Schloss, heute Teil der Hofgasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1859&hist=historisch,,,,,,,,,,Hofgasse,X,1710,1800
strasse_historisch_1851,1851,Höllmühlstraße,Pöstlingberg,"Von 1926 bis 1929 nach dem benachbarten Höllmühlbach, heute Gründbergstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1851&hist=historisch,,,,,,,,,,Gründbergstraße,X,1926,1929
strasse_historisch_1876,1876,Holzplatzstraße,Linz,"Bezeichnung bis 1864 nach den großen Holzlagerplätzen, die sich dort befunden hatten, heute Holzstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1876&hist=historisch,,,,,,,,,,Holzstraße,X,,1864
strasse_historisch_1888,1888,Hühnersteigstraße,Lustenau,"Von 1903 bis 1913 nach einer Flurbezeichnung, heute Im Hühnersteig",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1888&hist=historisch,,,,,,,,,,Im Hühnersteig,X,1903,1913
