id,quell_id,name,katastralgemeinde,beschreibung,detail_url,strasse_wikidata_id,strasse_wikidata_url,benannt_nach,person_wikidata_id,weitere_person_wikidata_ids,person_wikidata_url,person_name,person_geschlecht,person_beruf,person_geburtsdatum,person_sterbedatum
strasse_2522,2522,Melicharstraße,Lustenau,"Nach dem Objekt Wiener Straße 57 etwa in ostnordöstlicher Richtung zur Grillparzerstraße verlaufend. Benannt 1899 nach dem Kaufmann, Landtagsabgeordneten und Gemeinderat Franz Melichar (1835-1881), dem Gründer der Wohlfahrtsvereinigung Linzer Bürger.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2522,,,Franz Melichar,Q94822925,,https://www.wikidata.org/wiki/Q94822925,Franz Melichar,male,politician,1835-10-02,1881-07-28
strasse_2523,2523,Melissenweg,Kleinmünchen,"Nach dem Objekt Salzburger Straße 264 vorerst etwa in nordnordwestlicher, dann in westlicher und wiederum in nordnordwestlicher Richtung verlaufende Sackgasse. Benannt 1958 nach der heimischen Pflanzenart.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2523,,,,,,,,,,,
strasse_2524,2524,Memhardstraße,Lustenau,Nach dem Objekt Stieglbauernstraße 24 etwa in südsüdöstlicher Richtung zur Helletzgruberstraße verlaufend. Benannt 1931 nach dem im Jahre 1576 berufenen Rektor der Linzer protestantischen Landschaftsschule Johann Memhard.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2524,,,Johann Memhard,Q94784507,,https://www.wikidata.org/wiki/Q94784507,Johann Memhardt,male,teacher,,1613-01-01
strasse_2525,2525,Mengerstraße,Katzbach,Nach dem Objekt Altenberger Straße 43 etwa in westlicher Richtung im Bogen zur Johann-Wilhelm-Klein-Straße verlaufend. Benannt 1961 nach dem österreichischen Nationalökonomen Karl Menger (1840-1921).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2525,,,Karl Menger,Q84177,,https://www.wikidata.org/wiki/Q84177,Carl Menger,male,economist,1840-02-23,1921-02-26
strasse_3458,3458,Menzelweg,Pichling,"Vom Drosselweg zunächst in westlicher Richtung, dann nach Norden zum Fasanweg verlaufend. Benannt 2016 nach der Wissenschaftlerin Rudolfine Menzel (1891-1973).",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=3458,,,Rudolfine Menzel,Q7377487,,https://www.wikidata.org/wiki/Q7377487,Rudolphina Menzel,female,scientist,1891-03-01,1973-01-01
strasse_2526,2526,Merianweg,Urfahr,"Vor dem Objekt Hölderlinstraße 20 etwa in nördlicher Richtung zur Hauserstraße verlaufend. Benannt 1945 nach dem Kupferstecher Matthäus Merian (1593-1650), der in seinem topographischen Verlag viele Städteansichten, darunter auch Linz herausbrachte. - 1940 Obermüllerweg nach dem SA-Mann Fritz Obermüller, der beim nationalsozialistischen Putsch am 25. Juli 1934 ums Leben kam.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2526,,,Matthäus Merian,Q57968,,https://www.wikidata.org/wiki/Q57968,Matthäus Merian,male,cartographer,1593-09-22,1650-06-19
strasse_2527,2527,Meschedeweg,Kleinmünchen,Vor dem Objekt Alleitenweg 30 etwa in westlicher Richtung zum Straßenzug Am Winklgarten verlaufend. Benannt 1987 nach dem Kleinmünchner Gemeindearzt Josef Meschede (1854-1923).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2527,,,Josef Meschede,,,,,,,,
strasse_2529,2529,Michael-Hainisch-Straße,Katzbach,Nach dem Objekt Karl-Renner-Straße 10 etwa in ostsüdöstlicher Richtung zur Julius-Raab-Straße verlaufend. Benannt 1972 nach dem ersten Bundespräsidenten Michael Hainisch (1858-1940).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2529,,,Michael Hainisch,Q84475,,https://www.wikidata.org/wiki/Q84475,Michael Hainisch,male,politician,1858-08-15,1940-02-26
strasse_2530,2530,Michlbauernweg,Pöstlingberg,"Nach dem Objekt Gründbergstraße 48 vorerst etwa in ostsüdöstlicher, dann in nördlicher Richtung zur Höllmühlstraße verlaufend. Benannt 1963 nach dem gleichnamigen Bauerngut.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2530,,,,,,,,,,,
strasse_2531,2531,Millsteigerstraße,Pöstlingberg,Vor dem Objekt Ferdinand-Markl-Straße 11 etwa in nordnordwestlicher Richtung zur Leonfeldner Straße verlaufend. Benannt 1964 nach dem Urfahrer Marktrichter Andreas Millsteiger (1791-1858).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2531,,,Andreas Millsteiger,,,,,,,,
